
  logs\peticionamento.txt:1765:2025-05-15 07:06:26,104 | DEBUG    | peticionamento | logger         .debug                | L141  | Placeholder fragmentado encontrado: '{{decimo_terceiro_reflexo_total}}' (campo: 'decimo_terceiro_reflexo_total')
  logs\peticionamento.txt:1784:2025-05-15 07:06:26,108 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0]
  logs\peticionamento.txt:1785:2025-05-15 07:06:26,108 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(28, 73)]
> logs\peticionamento.txt:1786:2025-05-15 07:06:26,109 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'meses_ano_termino_topicos_decimo_terceiro'
  logs\peticionamento.txt:1787:2025-05-15 07:06:26,110 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:1788:2025-05-15 07:06:26,110 | DEBUG    | peticionamento | logger         .debug                | L141  | Placeholder fragmentado encontrado: '{{ferias_terco_reflexo_total}}' (campo: 'ferias_terco_reflexo_total')
  logs\peticionamento.txt:1928:2025-05-15 07:06:26,141 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [1]
  logs\peticionamento.txt:1929:2025-05-15 07:06:26,141 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(61, 95)]
> logs\peticionamento.txt:1930:2025-05-15 07:06:26,143 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'texto_personalizado_data_aviso'
  logs\peticionamento.txt:1931:2025-05-15 07:06:26,143 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:1932:2025-05-15 07:06:26,144 | DEBUG    | peticionamento | logger         .debug                | L141  | Placeholder fragmentado encontrado: '{{fgts_total_dos_pedidos}}' (campo: 'fgts_total_dos_pedidos')
  logs\peticionamento.txt:1978:2025-05-15 07:06:26,156 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0]
  logs\peticionamento.txt:1979:2025-05-15 07:06:26,156 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(0, 45)]
> logs\peticionamento.txt:1980:2025-05-15 07:06:26,157 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'lista_periodos_anos_decimo_terceiro_anual'
  logs\peticionamento.txt:1981:2025-05-15 07:06:26,157 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:1982:2025-05-15 07:06:26,158 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 1 runs
  logs\peticionamento.txt:1996:2025-05-15 07:06:26,163 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0]
  logs\peticionamento.txt:1997:2025-05-15 07:06:26,163 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(0, 37)]
> logs\peticionamento.txt:1998:2025-05-15 07:06:26,165 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'lista_periodos_anos_ferias_anuais'
  logs\peticionamento.txt:1999:2025-05-15 07:06:26,165 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:2000:2025-05-15 07:06:26,166 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 1 runs
  logs\peticionamento.txt:2368:2025-05-15 07:06:26,286 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [2]
  logs\peticionamento.txt:2369:2025-05-15 07:06:26,287 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(43, 80)]
> logs\peticionamento.txt:2370:2025-05-15 07:06:26,288 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'temas_pedidos_atualizada_gestante'
  logs\peticionamento.txt:2371:2025-05-15 07:06:26,289 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:2372:2025-05-15 07:06:26,289 | DEBUG    | peticionamento | logger         .debug                | L141  | Placeholder fragmentado encontrado: '{{data_aviso_base_calculo}}' (campo: 'data_aviso_base_calculo')
  logs\peticionamento.txt:2382:2025-05-15 07:06:26,292 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [2]
  logs\peticionamento.txt:2383:2025-05-15 07:06:26,292 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(115, 142)]
> logs\peticionamento.txt:2384:2025-05-15 07:06:26,294 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'data_aviso_base_calculo'
  logs\peticionamento.txt:2385:2025-05-15 07:06:26,294 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:2386:2025-05-15 07:06:26,294 | DEBUG    | peticionamento | logger         .debug                | L141  | Placeholder fragmentado encontrado: '{{data_final_estabilidade_gestante}}' (campo: 'data_final_estabilidade_gestante')
  logs\peticionamento.txt:2531:2025-05-15 07:06:26,341 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0]
  logs\peticionamento.txt:2532:2025-05-15 07:06:26,341 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(31, 63)]
> logs\peticionamento.txt:2533:2025-05-15 07:06:26,342 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'numero_nulidade_estabilidade'
  logs\peticionamento.txt:2534:2025-05-15 07:06:26,343 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:2535:2025-05-15 07:06:26,343 | DEBUG    | peticionamento | logger         .debug                | L141  | Placeholder fragmentado encontrado: '{{liquidacao_art_292}}' (campo: 'liquidacao_art_292')
  logs\peticionamento.txt:3071:2025-05-15 07:06:26,561 | INFO     | peticionamento | logger         .info                 | L142  | Seção 'VERBAS_RESCISORIAS' mapeada com 54 elementos
  logs\peticionamento.txt:3072:2025-05-15 07:06:26,561 | INFO     | peticionamento | logger         .info                 | L142  |   → Seção 'VERBAS_RESCISORIAS' está INATIVA
> logs\peticionamento.txt:3073:2025-05-15 07:06:26,562 | WARNING  | peticionamento | logger         .warning              | L143  |     Campo condicional 'motivo_rescisao' NÃO está presente nos dados
  logs\peticionamento.txt:3074:2025-05-15 07:06:26,589 | INFO     | peticionamento | logger         .info                 | L142  | Seção 'INSALUBRIDADE' mapeada com 130 elementos
  logs\peticionamento.txt:3075:2025-05-15 07:06:26,589 | INFO     | peticionamento | logger         .info                 | L142  |   → Seção 'INSALUBRIDADE' está INATIVA
> logs\peticionamento.txt:3076:2025-05-15 07:06:26,589 | WARNING  | peticionamento | logger         .warning              | L143  |     Campo condicional 'calcular_insalubridade' NÃO está presente nos dados
  logs\peticionamento.txt:3077:2025-05-15 07:06:26,590 | INFO     | peticionamento | logger         .info                 | L142  | Seção 'HORAS_EXTRAS' mapeada com 3 elementos
  logs\peticionamento.txt:3078:2025-05-15 07:06:26,591 | INFO     | peticionamento | logger         .info                 | L142  |   → Seção 'HORAS_EXTRAS' está INATIVA
> logs\peticionamento.txt:3079:2025-05-15 07:06:26,591 | WARNING  | peticionamento | logger         .warning              | L143  |     Campo condicional 'calcular_horas_extras' NÃO está presente nos dados
  logs\peticionamento.txt:3080:2025-05-15 07:06:26,601 | INFO     | peticionamento | logger         .info                 | L142  | Seção 'aviso_previo' mapeada com 65 elementos
  logs\peticionamento.txt:3081:2025-05-15 07:06:26,601 | INFO     | peticionamento | logger         .info                 | L142  |   → Seção 'aviso_previo' está INATIVA
> logs\peticionamento.txt:3082:2025-05-15 07:06:26,602 | WARNING  | peticionamento | logger         .warning              | L143  |     Campo condicional 'dias_aviso_previo_base_calculo' NÃO está presente nos dados
  logs\peticionamento.txt:3083:2025-05-15 07:06:26,602 | INFO     | peticionamento | logger         .info                 | L142  | Seções encontradas no documento: ['VERBAS_RESCISORIAS', 'INSALUBRIDADE', 'HORAS_EXTRAS', 'aviso_previo']
  logs\peticionamento.txt:3084:2025-05-15 07:06:26,602 | INFO     | peticionamento | logger         .info                 | L142  | Seção 'VERBAS_RESCISORIAS': INATIVA
  logs\peticionamento.txt:3608:2025-05-15 07:06:26,799 | INFO     | peticionamento | logger         .info                 | L142  | Campos substituídos: 61
  logs\peticionamento.txt:3609:2025-05-15 07:06:26,799 | INFO     | peticionamento | logger         .info                 | L142  | Campos ausentes: 21
> logs\peticionamento.txt:3610:2025-05-15 07:06:26,800 | WARNING  | peticionamento | logger         .warning              | L143  | Os seguintes campos não foram encontrados nos dados: ano_data_termino_base_calculo, aviso_previo_ insalubridade, data_aviso_base_calculo, descricao_atualizada_atividades_contratadas_acumulo_funcao, descricao_atualizada_atividades_extras_acumulo_funcao, descricao_atualizada_condicao_insalubre_insalubridade, descricao_atualizada_escala_trabalho, ferias_terco_ insalubridade, fgts_ insalubridade, informacoes_cliente_personalizado, lista_periodos_anos_decimo_terceiro_anual, lista_periodos_anos_ferias_anuais, meses_ano_termino_topicos_decimo_terceiro, multa_fgts_40_ insalubridade, numero_nulidade_estabilidade, temas_com_reflexo_atualizada_acumulo_funcao, temas_com_reflexo_atualizada_decimo_terceiro_anual, temas_com_reflexo_atualizada_ferias_anuais, temas_pedidos_atualizada_gestante, texto_personalizado_data_aviso, total_por_escrito
> logs\peticionamento.txt:3611:2025-05-15 07:06:26,816 | WARNING  | peticionamento | logger         .warning              | L143  | Os seguintes campos OBRIGATÓRIOS não foram fornecidos: data_aviso_base_calculo, descricao_atualizada_atividades_contratadas_acumulo_funcao, descricao_atualizada_atividades_extras_acumulo_funcao, descricao_atualizada_condicao_insalubre_insalubridade, lista_periodos_anos_decimo_terceiro_anual, lista_periodos_anos_ferias_anuais, meses_ano_termino_topicos_decimo_terceiro, numero_nulidade_estabilidade, temas_com_reflexo_atualizada_acumulo_funcao, temas_com_reflexo_atualizada_decimo_terceiro_anual, temas_com_reflexo_atualizada_ferias_anuais, temas_pedidos_atualizada_gestante, texto_personalizado_data_aviso
  logs\peticionamento.txt:3612:2025-05-15 07:06:26,817 | INFO     | peticionamento | logger         .info                 | L142  | Seções encontradas no documento: ['HORAS_EXTRAS', 'INSALUBRIDADE', 'VERBAS_RESCISORIAS', 'aviso_previo']
  logs\peticionamento.txt:3613:2025-05-15 07:06:26,817 | INFO     | peticionamento | logger         .info                 | L142  | Seções ativas aplicadas: ['s1', 's2', 's4', 's8']
> logs\peticionamento.txt:3614:2025-05-15 07:06:26,817 | WARNING  | peticionamento | logger         .warning              | L143  | As seguintes seções estão no mapeamento, mas não foram encontradas no documento: ['acumulo_funcao']
  logs\peticionamento.txt:3615:2025-05-15 07:06:26,900 | INFO     | peticionamento | logger         .info                 | L142  | Documento processado salvo em: output\modelo_trabalhista_20250515_070624.docx
  logs\peticionamento.txt:3616:2025-05-15 07:06:26,900 | INFO     | peticionamento | logger         .info                 | L142  | Estatísticas do processamento: {'campos_encontrados': 82, 'campos_substituidos': 61, 'campos_ausentes': 21, 'campos_obrigatorios_ausentes': 13, 'secoes_encontradas': 4, 'secoes_ativas': 4, 'tempo_processamento': '1.295 segundos'}
  logs\peticionamento.txt:3908:2025-05-15 09:08:17,738 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [1]
  logs\peticionamento.txt:3909:2025-05-15 09:08:17,738 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(65, 99)]
> logs\peticionamento.txt:3910:2025-05-15 09:08:17,739 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'texto_personalizado_data_aviso'
  logs\peticionamento.txt:3911:2025-05-15 09:08:17,739 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:3912:2025-05-15 09:08:17,739 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 2 runs
  logs\peticionamento.txt:3993:2025-05-15 09:08:17,754 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0]
  logs\peticionamento.txt:3994:2025-05-15 09:08:17,754 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(93, 127)]
